Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RFS,Chrome 75.0.3770.100,,,2019-07-17 22:27:51,2019-07-17 22:28:07,15.822s,INCOMPLETE
,,,,,,,
Test Cases/CreateNewRFS,Chrome 75.0.3770.100,,,2019-07-17 22:27:51,2019-07-17 22:28:07,15.508s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-07-17 22:27:52,2019-07-17 22:27:52,0.001s,PASSED
Start setup action : SetUp,Chrome 75.0.3770.100,,,2019-07-17 22:27:52,2019-07-17 22:28:04,12.001s,PASSED
"click(findTestObject(""CreateRFS/icon_ProjectDropdown""))",Chrome 75.0.3770.100,,,2019-07-17 22:28:04,2019-07-17 22:28:05,1.138s,PASSED
"click(findTestObject(""CreateRFS/item_Project"", [""project_name"":project]))",Chrome 75.0.3770.100,,,2019-07-17 22:28:05,2019-07-17 22:28:05,0.607s,PASSED
"click(findTestObject(""CreateRFS/icon_LotDropdown""))",Chrome 75.0.3770.100,,,2019-07-17 22:28:05,2019-07-17 22:28:05,0.132s,PASSED
"click(findTestObject(""CreateRFS/item_Lot"", [""lot_id"":lot]))",Chrome 75.0.3770.100,,,2019-07-17 22:28:05,2019-07-17 22:28:06,0.588s,PASSED
"click(findTestObject(""CreateRFS/icon_RequestTypeDropdown""))",Chrome 75.0.3770.100,,,2019-07-17 22:28:06,2019-07-17 22:28:06,0.097s,PASSED
"click(findTestObject(""CreateRFS/item_RequestType"", [""request_type"":requestType]))",Chrome 75.0.3770.100,,,2019-07-17 22:28:06,2019-07-17 22:28:07,0.584s,PASSED
"click(findTestObject(""CreateRFS/icon_ManagedByDropdown""))",Chrome 75.0.3770.100,,,2019-07-17 22:28:07,2019-07-17 22:28:07,0.098s,PASSED
"click(findTestObject(""CreateRFS/item_RFSManagedBy"", [""rfs_managedBy"":managedBy]))",Chrome 75.0.3770.100,,,2019-07-17 22:28:07,2019-07-17 22:28:07,0.082s,PASSED
"waitForElementPresent(""RFS Details/projectName"", 4)",Chrome 75.0.3770.100,,,2019-07-17 22:28:07,2019-07-17 22:28:07,0.001s,PASSED
Start tear down : TearDown,Chrome 75.0.3770.100,,,2019-07-17 22:28:07,2019-07-17 22:28:07,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-07-17 22:28:07,2019-07-17 22:28:07,0.000s,PASSED
